AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,OREB,PF,PLUS_MINUS,PTS,REB,STL,TOV,WL
51.0,-26.0,-105.0,109.0,39.0,18.498,55.0,21.0,3.5950000000000024,0.0,0.0,2.2830000000000013,-47.0,-27.0,108.0,81.0,-152.0,25.0,-1.0,1
-137.0,-27.0,-311.0,-39.0,0.0,-2.2509999999999906,-508.0,-208.0,-6.808999999999983,-227.0,-199.0,-21.575999999999993,-57.0,-63.0,19.0,-615.0,-368.0,-8.0,-64.0,-1
52.0,-34.0,-294.0,-220.0,-78.0,-17.447999999999993,-227.0,-76.0,-19.829999999999984,16.0,23.0,-18.276000000000003,-80.0,-96.0,-111.0,-207.0,-374.0,-9.0,-10.0,1
-29.0,13.0,-27.0,-296.0,-114.0,-14.841999999999988,-280.0,-109.0,-4.2270000000000145,6.0,-20.0,-11.547999999999998,68.0,56.0,302.0,-352.0,41.0,81.0,-37.0,1
193.0,-1.0,-114.0,1.0,7.0,2.3579999999999934,-288.0,-147.0,-0.5749999999999815,-65.0,-53.0,-8.712999999999994,10.0,36.0,533.0,-340.0,-104.0,19.0,34.0,1
-2.0,97.0,279.0,0.0,0.0,0.0,-27.0,6.0,16.485999999999997,164.0,90.0,17.772000000000006,107.0,91.0,152.0,102.0,386.0,0.0,17.0,1
223.0,33.0,293.0,214.0,73.0,2.5130000000000017,404.0,184.0,3.0920000000000023,128.0,114.0,30.603999999999992,34.0,-18.0,223.0,555.0,327.0,35.0,123.0,-1
68.0,35.0,209.0,307.0,111.0,15.919999999999995,250.0,84.0,6.157999999999991,18.0,25.0,18.012999999999995,-6.0,-4.0,151.0,304.0,203.0,-38.0,42.0,-1
-75.0,77.0,160.0,-485.0,-176.0,-25.967999999999986,-296.0,1.0,21.673000000000023,16.0,-36.0,-11.218000000000004,199.0,90.0,957.0,-210.0,359.0,-14.0,-7.0,1
-45.0,-30.0,-67.0,81.0,22.0,9.526,-142.0,-103.0,-17.842000000000006,-93.0,-81.0,-19.935000000000002,-86.0,-80.0,27.0,-265.0,-153.0,-14.0,-18.0,1
92.0,-22.0,92.0,382.0,140.0,12.558999999999994,370.0,136.0,4.969000000000008,108.0,86.0,24.025000000000002,-19.0,-8.0,93.0,498.0,73.0,107.0,47.0,-1
-72.0,19.0,-96.0,-289.0,-110.0,-14.941999999999988,-535.0,-205.0,-3.4450000000000074,-64.0,-60.0,-14.219000000000001,29.0,-16.0,265.0,-580.0,-67.0,0.0,-88.0,1
-169.0,16.0,34.0,-288.0,-99.0,-23.885000000000005,-552.0,-217.0,-5.128000000000011,-194.0,-163.0,-22.941999999999993,48.0,-91.0,309.0,-696.0,82.0,-25.0,-106.0,-1
14.0,-22.0,-38.0,49.0,19.0,11.9,37.0,20.0,2.6300000000000026,-8.0,-7.0,1.2159999999999975,-2.0,-6.0,-90.0,52.0,-40.0,7.0,-5.0,-1
232.0,5.0,22.0,94.0,30.0,-1.5550000000000104,148.0,52.0,-3.1850000000000023,41.0,40.0,8.670999999999985,27.0,-62.0,134.0,174.0,49.0,-33.0,67.0,-1
79.0,-10.0,-14.0,146.0,57.0,4.077000000000002,564.0,249.0,-0.8910000000000018,121.0,95.0,21.273999999999997,-8.0,-37.0,103.0,650.0,-22.0,28.0,65.0,-1
-199.0,44.0,272.0,110.0,28.0,-0.9030000000000058,208.0,92.0,4.264999999999972,90.0,58.0,12.182999999999993,65.0,-7.0,-319.0,270.0,337.0,28.0,4.0,-1
70.0,-128.0,-254.0,337.0,129.0,26.841999999999988,461.0,168.0,-10.54699999999999,-94.0,-32.0,-2.6870000000000047,-146.0,-106.0,-477.0,433.0,-400.0,10.0,44.0,-1
134.0,23.0,290.0,363.0,122.0,24.05099999999999,803.0,354.0,28.749999999999993,231.0,190.0,43.976,62.0,183.0,233.0,1020.0,352.0,124.0,81.0,-1
167.0,-9.0,-103.0,1.0,-2.0,0.09099999999999753,24.0,-26.0,-6.6059999999999945,-32.0,-15.0,2.293000000000003,-21.0,-12.0,321.0,-69.0,-124.0,-31.0,36.0,1
